Id,Created At,Request Text,Point of Contact,Embargo Ends On Date,Closed Date,Closure Reasons,URL
23-1095,6/27/2023 11:15,"I am requesting a copy of Monmouth County Engineering Plan ""Reconstruction of Bridge R-27 on 4th  Street over Waackaack Creek, Keansburg and Hazlet, Individual Property Parcel map 3,dated 5/2/2018,  reviised to 3/25/2019.""  Specifically Parcel TCE3 Block 70 lot 17 Borough of Keansburg  Thank you",Valerie Eppel,7/7/2023 14:32,7/7/2023 14:32,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1095
23-1083,6/26/2023 08:42,"My office would like to request the map entitled:&nbsp;   ""County of Monmouth, New Jersey, Shafto Road (CR 547) Improvements, Individual Parcel Map, Situated in The Borough of Tinton Falls, Francis W. &amp; Russell Barbara Holman, Parcels 12, E12A, &amp; E12B, Scale: 1""=30', June 18, 1993, last revised May 22, 1997""",Valerie Eppel,7/7/2023 10:27,7/7/2023 10:27,No responsive documents,https://monmouthcountynj.nextrequest.com/requests/23-1083
23-1055,6/20/2023 11:26,"Hello, we are working on a boundary location survey for 788 Tinton Avenue, Borough of Tinton Falls, also known as Block 68.02 - Lot 17. We are having difficulty resolving the adjacent properties along Tinton Avenue. We are requesting any Right-Of-Way maps for Tinton Avenue from Lot 19 through Lot 13. Attached you will find tax maps with the target area highlighted. Thank you for any help you can provide.",Valerie Eppel,6/30/2023 08:47,6/30/2023 08:47,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1055
23-1039,6/16/2023 15:03,"I'd like to see the application and response referenced by Mr Arnone and Mr Fitzgerald on the June 8th regular public meeting of the county, starting at minute 4:20.&nbsp;&nbsp;   Audio link is here:  https://oprs.co.monmouth.nj.us/oprs/meetings/meetingaudio.aspx  on the first audio link (the 6/8 public meeting)",Tamara Brown,7/20/2023 15:57,7/20/2023 15:57,No responsive documents,https://monmouthcountynj.nextrequest.com/requests/23-1039
23-1034,6/15/2023 15:48,"My company, Colliers Engineering &amp; Design, would like to obtain mapping of County Route 524 in the approximate area of the intersection of Route 524 (Squankum Road) and Hurley Pond Road.   I am attaching a copy of the area as viewed/outlined from Google Earth along with the (2) Straight Line Diagrams (SLDs).&nbsp;It looks like the SLD area would be from Mile Post 31.54 (Birdsall Road) to the following SLD Mile Post 32.7.   Please feel free to email/call with any questions or if anything additional is needed.&nbsp;Thank you!",Valerie Eppel,6/26/2023 14:45,6/26/2023 14:45,No responsive documents,https://monmouthcountynj.nextrequest.com/requests/23-1034
23-1016,6/13/2023 15:29,"2nd seperate OPRA REQUEST,&nbsp;of 6/13/23.  Monmouth County Tax Board   REQUESTOR  Vincent Lepore  33 Ocean Ter.  Long Branch, NJ  07740  732-917-1198  Produce record, of both land assessment and improvement assessment, for Block 222 lot 1.01 qualifier CO244.  Vincent Lepore  VL  6/13/23",Christopher Wong,6/14/2023 14:12,6/14/2023 14:12,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1016
23-1013,6/13/2023 15:05,"OPRA REQUEST  REQUESTOR  Vincent Lepore  33 Ocean Ter.  Long Branch, NJ 07740  732-917-1198  Produce record, of total land assessment, on the 245 condo units, on Bl 222 lot 1.01.  Vincent Lepore  VL  6/13/23",Veronica Schenk,6/14/2023 12:10,6/14/2023 12:10,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1013
23-1011,6/13/2023 15:00,"Dear Ms. Brown,   Pursuant to the Open Public Records Act and the common law, I request on behalf of a client the settlement&nbsp;agreement between Pamela Smith and the Monmouth County Prosecutor's Office, Monmouth County and/or Christopher Gramiccioni. The docket number is MER-L-2487-18.&nbsp;   Please let me know if you have&nbsp;any questions regarding this request. Please respond by email.&nbsp;   Thank you.&nbsp;   On Sun, Feb 26, 2023 at 10:30 PM Donald Burke &lt;donaldburkeesq@gmail.com&gt; wrote:  Dear Ms. Brown,   Pursuant to the Open Public Records Act and the common law, I request on behalf of a client the settlement&nbsp;agreement between Pamela Smith and the Monmouth County Prosecutor's Office, Monmouth County and/or Christopher Gramiccioni. The docket number is MER-L-2487-18.&nbsp;   Please let me know if you have&nbsp;any questions regarding this request.&nbsp;   Thank you.&nbsp;   --   Donald F. Burke   Certified Civil Trial Attorney   45 Gale Road   Brick, New Jersey 08723   Phone: (732) 966-4922       --   Donald F. Burke   Certified Civil Trial Attorney   45 Gale Road   Brick, New Jersey 08723   Phone: (732) 966-4922",Prosecutor's Office,6/15/2023 13:40,6/15/2023 13:40,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1011
23-995,6/13/2023 10:35,"6/13/23 OPRA Request  With regard to Public Bid Contract F-154-2018, awarded 10/10/2019, project name beginning: ""Roadway Improvement for Sharon Station Road (CR 539A)..."", and with regard to the stormwater collection and conveyance system located north of Monmouth County Rt-526 and at the west side (i.e. southbound side) of Sharon Station Road proximate to 80 Sharon Station Road [Upper Freehold Twp Tax Block 23, Lot 2]. &nbsp;Of specific interest is the 15-inch diameter reinforced concrete pipe (RCP) and precast concrete Type A inlet structure and grate #CB-4005-1B (a.k.a. catch basin #4005-01B) please provide the following documents:  &nbsp;  1. Construction Plans / Contract Plans (note: As-Built plans preferred if available) of the stormwater conveyance system layout drawings (i.e. plan views and section views) and related precast concrete inlet construction detail drawings  2. Approved shop drawings and/or working drawings for Precast Concrete inlets Type A inlet structure and grate #CB-4005-1B (a.k.a. catch basin #4005-01B)   Note: digital file transmittal via email of requested documents is preferred if possible",Valerie Eppel,6/30/2023 10:32,6/30/2023 10:32,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-995
23-955,6/6/2023 14:02,"Thank you for your response to request #23-912. I received sheets 6, 7, 8, 9 and 10 of 33. Could I please have the complete set? The sheets sent do not have any notes on how the right of way dimensions were determined.",Tamara Brown,6/9/2023 08:27,6/9/2023 08:27,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-955
23-945,6/5/2023 14:46,"Hello:   We are requesting key maps, typical sections, construction plans, tie sheets, right of way maps, general property parcel maps, and any other roadway plans for County Route 527 from mileposts 25.11(Phillip Ln) - 25.56 (Gramercy Ln).   Thanks,",Valerie Eppel,6/6/2023 12:39,6/6/2023 12:39,No responsive documents,https://monmouthcountynj.nextrequest.com/requests/23-945
23-912,6/1/2023 11:45,"I would like to request right of way mapping for CR547, Lakewood-Farmingdale Road, from its intersection with Victory Road, from a point 1200 feet south of the intersection to Easy Street to the north of the intersection.",Valerie Eppel,6/2/2023 08:37,6/2/2023 08:37,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-912
23-908,6/1/2023 09:34,"My office is working on a project located at 1105 8th Ave, Neptune City, NJ 07753 also known as Block 405 lots 5, 6, &amp; 7. This project has frontage on Memorial Drive, 8th Ave, and 9th Ave. We are requesting any drainage maps on Memorial Drive that show where our site drains. There is an existing inlet located at the northeastern most corner of the site, which we believe flows north towards 9th Avenue and beyond. Any information you are able to provide is greatly appreciated.",Valerie Eppel,6/1/2023 14:45,6/1/2023 14:45,No responsive documents,https://monmouthcountynj.nextrequest.com/requests/23-908
23-892,5/30/2023 15:05,Any and all documents and communications regarding or concerning any application or proposal for the installation of wireless facilities in Belmar&nbsp;,Tamara Brown,6/5/2023 14:37,6/13/2023 15:16,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-892
23-890,5/30/2023 13:02,"Good afternoon, I'm currently working on a project in the Township of Freehold, Monmouth County, and our property as a frontage along Route 537 a.k.a Monmouth Road, I would appreciate it if you could please provide me with a copy of any right-of-way maps.&nbsp;I' m including in this email a highlighted Google map showing the area in question. If you have any questions, please feel free to contact me.",Valerie Eppel,5/30/2023 15:16,5/30/2023 15:16,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-890
23-884,5/25/2023 15:03,"On behalf of our client, New Jersey American Water (NJAW), this request is for the most recent design plans for the following bridge crossing: MT-5 on CR-3485 (aka Church St) in Middletown Township. Specifically, we require site civil plans and any structural details plans showing supports for utilities on the bridge structure.",Valerie Eppel,6/15/2023 09:52,6/15/2023 09:52,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-884
23-883,5/25/2023 14:59,"On behalf of our client, New Jersey American Water (NJAW), this request is for the most recent design plans for the following bridge crossing: W-35 located on CR-2505 (aka Brighton Ave) in Neptune and Wall Townships. Specifically, we require site civil plans and any structural details plans showing supports for utilities on the bridge structure.&nbsp;&nbsp;",Valerie Eppel,6/15/2023 09:53,6/15/2023 09:53,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-883
23-866,5/24/2023 12:27,"Our office is performing a right-of-way survey for a proposed utility route (Atlantic Shores Offshore Wind, LLC is our client).    Location: Monmouth County Route #21 (aka Lakewood-Allenwood Road and Squankum-Allenwood Road). Specifically, between the intersection with Hospital Rd/Easy Street and the intersection with Atlantic Avenue/West Side Dr.    We are requesting any surveys, road plans, and/or as-builts that can accurately describe the right-of-way in questions. We want to ensure the proposed route stays away from properties and within the right-of-way.    Please contact me with any questions or if you need additional information.    Thank you.",Valerie Eppel,5/30/2023 14:56,5/30/2023 14:56,No responsive documents,https://monmouthcountynj.nextrequest.com/requests/23-866
23-842,5/19/2023 14:54,"Please provide any ROW, Construction or As-Built Plans for the following roads in Tinton Falls:   Newman Springs Rd (CR 520) between Clinton Pl &amp; Shrewsbury Ave (CR 13)    Shrewsbury Ave (CR 13) between Newman Springs Rd (CR 520) &amp; Harvard Way  &nbsp;  The information will be used for reference purposes on our Topographic Survey.&nbsp;   PDF or TIFF copies preferred via email to KCATINO@CPASURVEY.COM",Valerie Eppel,5/23/2023 08:24,5/23/2023 08:24,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-842
23-840,5/19/2023 10:14,We have been hired by Winding Brook Mobile Community to provide engineering services for a septic system. The sewer line will need to cross County Road 547. We will need to know which Utilities are located in the road in order to design the system without disrupting any current system in the ground. Please provide the utility companies and locations of lines. Thank you,Valerie Eppel,5/24/2023 08:26,5/24/2023 08:26,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-840
23-814,5/16/2023 09:56,"I am working on a potential project in the Township of Wall along 18th Avenue (CR30).  If available, can you send any right of way, as-built or construction plans of CR30 between Allenwood Road and New Bedford Road to assist in determining the right of way width (existing and proposed)?",Valerie Eppel,5/19/2023 09:55,5/19/2023 09:55,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-814
23-806,5/15/2023 10:45,"I would like to request any as-built plans for Route 79, MP 0.0 - MP 12.13 (from the intersection of Route 9 to the intersection of Route 34). This includes any construction plans and ROW plans (ETMs and GPPMs). These plans will be used for an NJDOT pavement resurfacing project. Any old records of this roadway will be very useful in aiding NJDOT in completing their project.   Thank you for your help.",Valerie Eppel,5/23/2023 08:21,5/23/2023 08:21,No Records: Other Agency,https://monmouthcountynj.nextrequest.com/requests/23-806
23-792,5/11/2023 15:32,"My office would like to request County As Built Plans (Index of Sheets, Construction, Drainage, Utility and Ties) for Oceanport Avenue (CR 11 II) between Silverside Avenue and Eastview Avenue in Little Silver.",Valerie Eppel,5/19/2023 10:00,5/19/2023 10:00,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-792
23-789,5/11/2023 10:43,"Please provide any available ridership, traffic or parking data available for the Port Belford Ferry Terminal, for the full year of 2022 or the most recent full year of data available. I understand from conversations with Engineering Division staff that the ferry operator has some of this data but the County also maintains some of this data. If this data is too voluminous in its native format to easily provide, please contact me to discuss a summary format, or any other questions or concerns about this request. Thanks in advance for your response.",Valerie Eppel,5/11/2023 14:40,5/11/2023 14:40,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-789
23-783,5/10/2023 13:04,"•	Pursuant to N.J.S.A. 19:8-2 : The list of suggested polling places sent by Municipal Clerks to the Monmouth County Board of Elections, the deadline of which was April 1st. With this list of polling locations please include, in excel format:  o	Name of Polling Location  o	Precinct Name  o	Location Description  o	Address  o	City  o	Zip Code  o	Polling Location Contact Info  &nbsp;  We are aware that these locations are not yet certified, but we would like to see the list ahead of time. We will again be requesting the list on May 15th when the deadline for certification of polling places occurs, pursuant to N.J.S.A. 19:8-4.  &nbsp;  I would like this e-mail to serve as an OPRA Request. Please acknowledge receipt of this message.&nbsp;  &nbsp;  Feel free to contact me if you need any clarity on this request.&nbsp;  &nbsp;  Thanks,  Sam Beson  &nbsp;",Robin Major,5/10/2023 13:21,5/10/2023 13:21,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-783
23-771,5/9/2023 09:03,"Our firm is preparing a boundary survey for Lots 6 &amp; 7, Block 32.05, Freehold Township. These lots are located at the corner of East Freehold Road and Colts Neck Road. We request information pertaining to the County Route 537 (Colts Neck Rd.) and County Route 55 (Kozloski Rd.). right of ways and also any information pertaining to the County owned parcel designated as Lot 9, Block 32.07, Freehold Township. Thank you.",Valerie Eppel,5/19/2023 10:02,5/19/2023 10:02,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-771
23-769,5/8/2023 15:59,"DEC Job # (4513) 23-00696   3494 US Route 9, Freehold Twp, Monmouth County, NJ 07728  Block 71 Lot 17    Our office is currently working on a project at the above referenced location.&nbsp;We are requesting utility maps, site plans of resolution, as-built surveys you might have for the above site.",Valerie Eppel,5/8/2023 16:39,5/8/2023 16:39,No Records: Other Agency,https://monmouthcountynj.nextrequest.com/requests/23-769
23-756,5/8/2023 11:42,"Please provide all copies of certified payroll submitted by Assuncao Bros. Inc. in connection with the Improvements to Halls Mills Road project from July 1, 2021 through the present. Please provide any bonding information for Assuncao Bros Inc. in connection with the project.&nbsp;",Valerie Eppel,5/12/2023 11:36,5/12/2023 11:36,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-756
23-745,5/5/2023 16:53,"Hello:   We are requesting key maps, typical sections, construction plans, tie sheets, general property parcel maps, and any other roadway plans for Monmouth County Route 527 from mileposts 2.0-2.62.   Thanks,",Valerie Eppel,5/8/2023 16:42,5/8/2023 16:42,No responsive documents,https://monmouthcountynj.nextrequest.com/requests/23-745
23-737,5/5/2023 09:06,"Please provide all copies of certified payroll submitted by Assuncao Bros. Inc. in connection with the Improvements to Halls Mills Road project from July 1, 2021 through the present. Please provide any bonding information for Assuncao Bros Inc. in connection with the project.&nbsp;",Valerie Eppel,5/12/2023 11:34,5/12/2023 11:34,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-737
23-724,5/4/2023 07:40,Please see attached,JoAnn Denton,5/4/2023 08:53,5/4/2023 08:53,No Records: Other Agency,https://monmouthcountynj.nextrequest.com/requests/23-724
23-679,4/27/2023 09:12,Please see attached,Valerie Eppel,5/8/2023 09:17,5/8/2023 09:17,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-679
23-672,4/26/2023 15:55,Our office would like to request the traffic signal timing and plans for the intersection of Asbury Avenue/Langford Street and Asbury Avenue/Comstock Street,Valerie Eppel,4/27/2023 16:15,4/27/2023 16:15,No Records: Other Agency,https://monmouthcountynj.nextrequest.com/requests/23-672
23-661,4/25/2023 13:14,Please see attached,Valerie Eppel,4/27/2023 08:19,4/27/2023 08:19,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-661
23-659,4/25/2023 09:14,"General Property Parcel maps or any plans depicting the right of way of Millhurst Road (County Route 527) in the Township of Manalapan between Woodward Road/Main Street and Iron Ore Road. We are preparing a survey of a number of lots in Block 67 and want to make sure we have the ROW mapped correctly. In addition to maps depicting the ROW, can all Key maps, Typical Sections, Construction and Drainage plans, Profiles and Tie Sheets be included as well? Any As-Built utulity plans for the abovementioned areas will be helpful as well.",Valerie Eppel,4/27/2023 10:33,4/27/2023 10:33,No responsive documents,https://monmouthcountynj.nextrequest.com/requests/23-659
23-632,4/20/2023 09:50,"Copies of documents, such as − but not limited to –  A/E Contract/ Agreement, Field Reports, Project Directories, Notice to Proceed, SBE, MWBE, VOB and/ or DVOB Reports, and the Proposed Subcontractor List provided with the awarded Bids  or other similar forms that specify subcontractors for construction or renovation projects of public buildings/facilities valued at $5,000,000 or more at Monmouth County. Please include information for both currently active projects in design and construction phases as well as those completed since October 1, 2022. We do not need every document that mentions subcontractors, just one for each subcontractor or set of subcontractors.   Specifically, we seek:  • Project number  • Projected completion date  • Prime/General Contractor name(s)  • Construction Manager (at Risk) name  • Architect/Engineer names  • Subcontractor names  Excel spreadsheets containing similar information are welcome.   Known projects include:  Library Headquarters (Renovations)   The information will be used for research aimed at identifying patterns of spending by public entities. No part of the data will be used as a mailing list and supplying the information cannot be construed as an endorsement of either your payees or our work.   We are willing to reimburse your office for any reasonable expense incurred in providing the requested information if an estimate of costs is provided for our approval before the work is performed. We prefer to receive the data via e-mail attached as a PDF or Excel document.   If my request is too broad or does not reasonably describe the records being requested, please contact me via e-mail or by phone, so that I might clarify my request, and when appropriate, inform me of the manner in which the records are filed, retrieved, or generated. Thank you for your assistance!",Helen Fiore,4/21/2023 11:55,4/21/2023 11:55,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-632
23-630,4/19/2023 17:29,"Requesting bid results/figures, as opened, for:  Drainage Improvements - CR20 (Broad St) &amp; CR524 Spur (Atlantic Ave)  F-42-2023  Bid due date/time: 4/19/23 10:30 a.m.",Tamara Brown,4/21/2023 12:25,4/21/2023 12:25,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-630
23-623,4/19/2023 11:30,Is there a list of weight restricted County roads available either in an electronic or hard copy format?&nbsp;&nbsp;,Valerie Eppel,4/21/2023 09:28,4/21/2023 09:28,No responsive documents,https://monmouthcountynj.nextrequest.com/requests/23-623
23-614,4/17/2023 15:32,Requesting As Builts of Bridge HL-53A over Tarkiln Brook. Its the structure just north of the intersection of Lakewood Farmingdale Road and Oak Glen Road in Howell. It appears to be a newer structure and is clearly labeled on the Guiderail HL-53A. I requested HL-53A previously but was unsuccessful in getting the as builts. Thanks for your help,Valerie Eppel,4/27/2023 10:54,4/27/2023 10:54,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-614
